code,name,x_value,y_value
AC,acre,-209.0,49.0
AL,alagoas,243.0,44.0
AP,amapa,23.0,210.0
AM,amazonas,-161.0,124.0
BA,bahia,156.0,16.0
CE,ceara,197.0,113.0
DF,distrito federal,83.0,-32.0
ES,espirito santo,176.0,-93.0
GO,goias,43.0,-46.0
MA,maranhao,115.0,116.0
MT,mato grosso,-29.0,2.0
MS,mato grosso do sul,-15.0,-99.0
MG,minas gerais,117.0,-74.0
PA,para,10.0,124.0
PB,paraiba,246.0,78.0
PR,parana,20.0,-156.0
PE,pernambuco,219.0,64.0
PI,piaui,142.0,71.0
RJ,rio de janeiro,144.0,-131.0
RN,rio grande do norte,245.0,97.0
RS,rio grande do sul,2.0,-227.0
RO,rondonia,-129.0,27.0
RR,roraima,-107.0,214.0
SC,santa catarina,43.0,-195.0
SP,sao paulo,57.0,-121.0
SE,sergipe,225.0,26.0
TO,tocantins,69.0,41.0
